Key,Text
settings.mod.LobbyMusic.trackOrder,.
settings.mod.LobbyMusic.trackOrder.description,.
settings.mod.LobbyMusic.trackOrder.value.alternate,.
settings.mod.LobbyMusic.trackOrder.value.alternate.description,.
settings.mod.LobbyMusic.trackOrder.value.aria,.
settings.mod.LobbyMusic.trackOrder.value.aria.description,.
settings.mod.LobbyMusic.trackOrder.value.ordered,.
settings.mod.LobbyMusic.trackOrder.value.ordered.description,.
settings.mod.LobbyMusic.trackOrder.value.shuffle,.
settings.mod.LobbyMusic.trackOrder.value.shuffle.description,.
settings.mod.LobbyMusic.zone3,.
settings.mod.LobbyMusic.zone3.description,.
settings.mod.LobbyMusic.zone3.value.balanced,.
settings.mod.LobbyMusic.zone3.value.balanced.description,.
settings.mod.LobbyMusic.zone3.value.cold,.
settings.mod.LobbyMusic.zone3.value.cold.description,.
settings.mod.LobbyMusic.zone3.value.hot,.
settings.mod.LobbyMusic.zone3.value.hot.description,.
settings.mod.LobbyMusic.zone3.value.random,.
settings.mod.LobbyMusic.zone3.value.random.description,.
,.
,.
component.Lola_forcedLowPercent.killerName,.
entity.mod.Lola.lola.friendlyName.name,.
entity.mod.Lola.lola.textCharacterSelectionMessage.text,.
entity.mod.Lola.spellcastPackage.Lola_spellcastFlyawayPackage.baseText,.
entity.mod.Lola.spellcastPackage.Lola_spellcastFlyawayPackage.noTargets,.
entity.mod.Lola.spellcastPackage.Lola_spellcastFlyawayPackage.cantAfford,.
entity.mod.Lola.spellcastPackage.friendlyName.name,.
entity.mod.Lola.spellcastPackageGreater.Lola_spellcastFlyawayPackage.baseText,.
entity.mod.Lola.spellcastPackageGreater.Lola_spellcastFlyawayPackage.noTargets,.
entity.mod.Lola.spellcastPackageGreater.Lola_spellcastFlyawayPackage.cantAfford,.
entity.mod.Lola.spellcastPackageGreater.Lola_spellcastFlyawayPackage.enemyCrate,.
entity.mod.Lola.spellcastPackageGreater.friendlyName.name,.
entity.mod.Lola.spellPackage.friendlyName.name,.
entity.mod.Lola.spellPackage.itemHintLabel.text,.
entity.mod.Lola.spellPackage.spellBloodMagic.killerName,.
mod.Lola.text.infinite,.
settings.mod.Lola.preset,.
settings.mod.Lola.preset.description,.
settings.mod.Lola.preset.default,.
settings.mod.Lola.preset.default.description,.
settings.mod.Lola.preset.classic,.
settings.mod.Lola.preset.classic.description,.
settings.mod.Lola.gameplay,.
settings.mod.Lola.gameplay.package,.
settings.mod.Lola.gameplay.package.value.none,.
settings.mod.Lola.gameplay.package.value.none.description,.
settings.mod.Lola.gameplay.package.value.replaceable,.
settings.mod.Lola.gameplay.package.value.replaceable.description,.
settings.mod.Lola.gameplay.package.value.innate,.
settings.mod.Lola.gameplay.package.value.innate.description,.
settings.mod.Lola.gameplay.bombs,.
settings.mod.Lola.gameplay.storageVision,.
settings.mod.Lola.gameplay.storageVision.description,.
settings.mod.Lola.gameplay.glass,.
settings.mod.Lola.gameplay.glass.description,.
settings.mod.Lola.gameplay.shrine,.
settings.mod.Lola.gameplay.shrine.description,.
settings.mod.Lola.gameplay.transaction,.
settings.mod.Lola.gameplay.transaction.description,.
settings.mod.Lola.silly,.
settings.mod.Lola.silly.packageEnemies,.
settings.mod.Lola.silly.packageEnemies.description,.
settings.mod.Lola.silly.luteMode,.
settings.mod.Lola.silly.luteMode.description,.
,.
,.
mod.NixLib.text.cancel,.
mod.NixLib.text.close,.
mod.NixLib.text.continue,.
mod.NixLib.text.default,.
mod.NixLib.text.disable,.
mod.NixLib.text.done,.
mod.NixLib.text.enable,.
mod.NixLib.text.no,.
mod.NixLib.text.randomize,.
mod.NixLib.text.reset,.
mod.NixLib.text.yes,.
,.
,.
entity.mod.NixsItems.ringPreservation.data.flyaway,.
entity.mod.NixsItems.ringPreservation.data.name,.
entity.mod.NixsItems.ringPreservation.data.hint,.
entity.mod.NixsItems.shovelSilver.data.flyaway,.
entity.mod.NixsItems.shovelSilver.data.name,.
entity.mod.NixsItems.shovelSilver.data.hint,.
,.
,.
mod.PowerSettings.text.addListItem,.
mod.PowerSettings.text.bitflagUnnamedDetail,.
mod.PowerSettings.text.bitflagUnnamed,.
mod.PowerSettings.text.cancelMove,.
mod.PowerSettings.text.errors.bitflagOmission,.
mod.PowerSettings.text.errors.settingID,.
mod.PowerSettings.text.format.bitflag0,.
mod.PowerSettings.text.format.bitflag1,.
mod.PowerSettings.text.format.bitflag2,.
mod.PowerSettings.text.format.bitflagPlus,.
mod.PowerSettings.text.format.entity,.
mod.PowerSettings.text.format.list0,.
mod.PowerSettings.text.format.list1,.
mod.PowerSettings.text.format.list2,.
mod.PowerSettings.text.format.listPlus,.
mod.PowerSettings.text.format.noSuchComponent,.
mod.PowerSettings.text.format.noSuchEntity,.
mod.PowerSettings.text.list.insertAbove,.
mod.PowerSettings.text.list.move,.
mod.PowerSettings.text.list.remove,.
mod.PowerSettings.text.listIsEmpty,.
mod.PowerSettings.text.listItemName,.
mod.PowerSettings.text.render.add,.
mod.PowerSettings.text.render.insert,.
mod.PowerSettings.text.render.modify,.
mod.PowerSettings.text.render.noInsert,.
mod.PowerSettings.text.searchHint,.
mod.PowerSettings.text.selectComponent,.
mod.PowerSettings.text.selectEntity,.
,.
,.
mod.SaveEditor.text.backButton,.
mod.SaveEditor.text.debug,.
mod.SaveEditor.text.deselectAllButton,.
mod.SaveEditor.text.enemyTraining,.
mod.SaveEditor.text.extraModes,.
mod.SaveEditor.text.itemGrantPermanent,.
mod.SaveEditor.text.itemPool,.
mod.SaveEditor.text.itemUsed,.
mod.SaveEditor.text.lobbyNPC,.
mod.SaveEditor.text.playableCharacter,.
mod.SaveEditor.text.saveEditorTitle,.
mod.SaveEditor.text.selectAllButton,.
,.
,.
mod.SpatialDistortions.text.clumping.level,.
mod.SpatialDistortions.text.clumping.none,.
mod.SpatialDistortions.text.clumping.zone,.
mod.SpatialDistortions.text.hud.floorNumber,.
mod.SpatialDistortions.text.hud.floorNumberCustom,.
mod.SpatialDistortions.text.inGame.first.above,.
mod.SpatialDistortions.text.inGame.first.below,.
mod.SpatialDistortions.text.inGame.last.above,.
mod.SpatialDistortions.text.inGame.last.belowLoop,.
mod.SpatialDistortions.text.inGame.last.belowRun,.
mod.SpatialDistortions.text.order.custom,.
mod.SpatialDistortions.text.order.normal,.
mod.SpatialDistortions.text.order.random,.
mod.SpatialDistortions.text.order.reversed,.
settings.mod.SpatialDistortions.floor,.
settings.mod.SpatialDistortions.floor.description,.
settings.mod.SpatialDistortions.zone,.
settings.mod.SpatialDistortions.zone.description,.
settings.mod.SpatialDistortions.clustering,.
settings.mod.SpatialDistortions.clustering.description,.
settings.mod.SpatialDistortions.alignment,.
settings.mod.SpatialDistortions.alignment.description,.
settings.mod.SpatialDistortions.singleBoss,.
settings.mod.SpatialDistortions.singleBoss.description,.
settings.mod.SpatialDistortions.finalFloorText,.
settings.mod.SpatialDistortions.finalFloorText.description,.
,.
,.
entity.mod.Switcheroo.noneItem.name,.
mod.Switcheroo.text.bans.giving.allow,.
mod.Switcheroo.text.bans.giving.dontAllow,.
mod.Switcheroo.text.bans.giving.dynamicGold,.
mod.Switcheroo.text.bans.taking.dontTake,.
mod.Switcheroo.text.bans.taking.take,.
mod.Switcheroo.text.bans.taking.ifGiven,.
mod.Switcheroo.text.charmsAlgorithms.simple,.
mod.Switcheroo.text.floors.depth,.
mod.Switcheroo.text.floors.extraBoss,.
mod.Switcheroo.text.floors.extraOther,.
mod.Switcheroo.text.floors.extraPostBosses,.
mod.Switcheroo.text.floors.extraStoryBoss,.
mod.Switcheroo.text.floors.ordinal.1,.
mod.Switcheroo.text.floors.ordinal.2,.
mod.Switcheroo.text.floors.ordinal.3,.
mod.Switcheroo.text.floors.ordinal.4,.
mod.Switcheroo.text.floors.ordinal.5,.
mod.Switcheroo.text.floors.ordinal.6,.
mod.Switcheroo.text.floors.ordinal.7,.
mod.Switcheroo.text.floors.ordinal.8,.
mod.Switcheroo.text.floors.ordinal.9,.
mod.Switcheroo.text.floors.ordinal.10,.
mod.Switcheroo.text.floors.ordinal.11,.
mod.Switcheroo.text.floors.ordinal.12,.
mod.Switcheroo.text.floors.ordinal.13,.
mod.Switcheroo.text.floors.ordinal.14,.
mod.Switcheroo.text.floors.ordinal.15,.
mod.Switcheroo.text.floors.ordinal.16,.
mod.Switcheroo.text.floors.ordinal.17,.
mod.Switcheroo.text.floors.ordinal.18,.
mod.Switcheroo.text.floors.ordinal.19,.
mod.Switcheroo.text.floors.ordinal.20,.
mod.Switcheroo.text.floors.ordinal.21,.
mod.Switcheroo.text.floors.rawNumbers,.
mod.Switcheroo.text.floors.trainingFloors,.
mod.Switcheroo.text.floorPresets.allFloors,.
mod.Switcheroo.text.floorPresets.firstOfZone,.
mod.Switcheroo.text.floorPresets.postBosses,.
mod.Switcheroo.text.floorPresets.startOfRun,.
mod.Switcheroo.text.formats.itemPoolAdvanced,.
mod.Switcheroo.text.formats.noLimit,.
mod.Switcheroo.text.formats.sell.no,.
mod.Switcheroo.text.formats.sell.yes,.
mod.Switcheroo.text.func.nounCase,.
mod.Switcheroo.text.itemPools.itemPoolChest,.
mod.Switcheroo.text.itemPools.itemPoolRedChest,.
mod.Switcheroo.text.itemPools.itemPoolPurpleChest,.
mod.Switcheroo.text.itemPools.itemPoolBlackChest,.
mod.Switcheroo.text.itemPools.itemPoolLockedChest,.
mod.Switcheroo.text.itemPools.itemPoolShop,.
mod.Switcheroo.text.itemPools.itemPoolLockedShop,.
mod.Switcheroo.text.itemPools.itemPoolUrn,.
mod.Switcheroo.text.itemPools.itemPoolSecret,.
mod.Switcheroo.text.itemPools.itemPoolFood,.
mod.Switcheroo.text.itemPools.itemPoolHearts,.
mod.Switcheroo.text.itemPools.itemPoolCrate,.
mod.Switcheroo.text.itemPools.itemPoolWar,.
mod.Switcheroo.text.itemPools.itemPoolUncertainty,.
mod.Switcheroo.text.itemPools.itemPoolEnchant,.
mod.Switcheroo.text.itemPools.itemPoolNeed,.
mod.Switcheroo.text.itemPools.switcheroo_itemPoolSwitcheroo,.
mod.Switcheroo.text.replaceMode.empty,.
mod.Switcheroo.text.replaceMode.everything,.
mod.Switcheroo.text.replaceMode.existing,.
mod.Switcheroo.text.settings.defaultItemDesc,.
mod.Switcheroo.text.slots.names.action,.
mod.Switcheroo.text.slots.names.body,.
mod.Switcheroo.text.slots.names.feet,.
mod.Switcheroo.text.slots.names.head,.
mod.Switcheroo.text.slots.names.holster,.
mod.Switcheroo.text.slots.names.misc,.
mod.Switcheroo.text.slots.names.ring,.
mod.Switcheroo.text.slots.names.shield,.
mod.Switcheroo.text.slots.names.shovel,.
mod.Switcheroo.text.slots.names.spell,.
mod.Switcheroo.text.slots.names.torch,.
mod.Switcheroo.text.slots.names.weapon,.
mod.Switcheroo.text.slots.presets.allButHolster,.
mod.Switcheroo.text.slots.presets.allButHolsterShield,.
mod.Switcheroo.text.slots.presets.allButShield,.
mod.Switcheroo.text.slots.presets.allButWeapon,.
mod.Switcheroo.text.slots.presets.allButWeaponShield,.
mod.Switcheroo.text.slots.presets.all,.
mod.Switcheroo.text.slots.presets.none,.
settings.mod.Switcheroo.allowedFloors,.
settings.mod.Switcheroo.allowedFloors.description,.
settings.mod.Switcheroo.bomb,.
settings.mod.Switcheroo.bomb.description,.
settings.mod.Switcheroo.charms,.
settings.mod.Switcheroo.charms.description,.
settings.mod.Switcheroo.charms.algorithm,.
settings.mod.Switcheroo.charms.algorithm.description,.
settings.mod.Switcheroo.charms.maxAdd,.
settings.mod.Switcheroo.charms.maxAdd.description,.
settings.mod.Switcheroo.charms.maxTotal,.
settings.mod.Switcheroo.charms.maxTotal.description,.
settings.mod.Switcheroo.defaults,.
settings.mod.Switcheroo.defaults.holster.description,.
settings.mod.Switcheroo.dontGive,.
settings.mod.Switcheroo.dontGive.description,.
settings.mod.Switcheroo.dontGive.bannedItems,.
settings.mod.Switcheroo.dontGive.bannedItems.description,.
settings.mod.Switcheroo.dontGive.breakableWeapons,.
settings.mod.Switcheroo.dontGive.breakableWeapons.description,.
settings.mod.Switcheroo.dontGive.breakableShovels,.
settings.mod.Switcheroo.dontGive.breakableShovels.description,.
settings.mod.Switcheroo.dontGive.components,.
settings.mod.Switcheroo.dontGive.components.description,.
settings.mod.Switcheroo.dontGive.damageUps,.
settings.mod.Switcheroo.dontGive.damageUps.description,.
settings.mod.Switcheroo.dontGive.deadlyItems,.
settings.mod.Switcheroo.dontGive.deadlyItems.description,.
settings.mod.Switcheroo.dontGive.floatingItems,.
settings.mod.Switcheroo.dontGive.floatingItems.description,.
settings.mod.Switcheroo.dontGive.goldItems,.
settings.mod.Switcheroo.dontGive.goldItems.description,.
settings.mod.Switcheroo.dontGive.items,.
settings.mod.Switcheroo.dontGive.items.description,.
settings.mod.Switcheroo.dontGive.magicFood,.
settings.mod.Switcheroo.dontGive.magicFood.description,.
settings.mod.Switcheroo.dontGive.moveAmplifiers,.
settings.mod.Switcheroo.dontGive.moveAmplifiers.description,.
settings.mod.Switcheroo.dontGive.rhythmIgnoringItems,.
settings.mod.Switcheroo.dontGive.rhythmIgnoringItems.description,.
settings.mod.Switcheroo.dontGive.visionReducers,.
settings.mod.Switcheroo.dontGive.visionReducers.description,.
settings.mod.Switcheroo.dontTake,.
settings.mod.Switcheroo.dontTake.description,.
settings.mod.Switcheroo.dontTake.crownOfGreed,.
settings.mod.Switcheroo.dontTake.crownOfGreed.description,.
settings.mod.Switcheroo.dontTake.crystalShovel,.
settings.mod.Switcheroo.dontTake.crystalShovel.description,.
settings.mod.Switcheroo.dontTake.locked,.
settings.mod.Switcheroo.dontTake.locked.description,.
settings.mod.Switcheroo.dontTake.luckyCharm,.
settings.mod.Switcheroo.dontTake.luckyCharm.description,.
settings.mod.Switcheroo.dontTake.potion,.
settings.mod.Switcheroo.dontTake.potion.description,.
settings.mod.Switcheroo.dontTake.ringOfWonder,.
settings.mod.Switcheroo.dontTake.ringOfWonder.description,.
settings.mod.Switcheroo.dontTake.alwaysLabel,.
settings.mod.Switcheroo.dontTake.items,.
settings.mod.Switcheroo.dontTake.items.description,.
settings.mod.Switcheroo.dontTake.components,.
settings.mod.Switcheroo.dontTake.components.description,.
settings.mod.Switcheroo.dontTake.unlessGivenLabel,.
settings.mod.Switcheroo.dontTake.componentsUnlessGiven,.
settings.mod.Switcheroo.dontTake.componentsUnlessGiven.description,.
settings.mod.Switcheroo.dontTake.itemsUnlessGiven,.
settings.mod.Switcheroo.dontTake.itemsUnlessGiven.description,.
settings.mod.Switcheroo.generatorFallback,.
settings.mod.Switcheroo.generatorFallback.description,.
settings.mod.Switcheroo.generators,.
settings.mod.Switcheroo.generators.description,.
settings.mod.Switcheroo.guarantees,.
settings.mod.Switcheroo.guarantees.description,.
settings.mod.Switcheroo.replacement,.
settings.mod.Switcheroo.replacement.description,.
settings.mod.Switcheroo.replacement.advancedEmptyChance,.
settings.mod.Switcheroo.replacement.advancedEmptyChance.description,.
settings.mod.Switcheroo.replacement.advancedEmptyMinSlots,.
settings.mod.Switcheroo.replacement.advancedEmptyMinSlots.description,.
settings.mod.Switcheroo.replacement.advancedFullMinSlots,.
settings.mod.Switcheroo.replacement.advancedFullMinSlots.description,.
settings.mod.Switcheroo.replacement.advancedFullReplaceChance,.
settings.mod.Switcheroo.replacement.advancedFullReplaceChance.description,.
settings.mod.Switcheroo.replacement.advancedFullSelectChance,.
settings.mod.Switcheroo.replacement.advancedFullSelectChance.description,.
settings.mod.Switcheroo.replacement.advancedMaxItems,.
settings.mod.Switcheroo.replacement.advancedMaxItems.description,.
settings.mod.Switcheroo.replacement.advancedMaxSlots,.
settings.mod.Switcheroo.replacement.advancedMaxSlots.description,.
settings.mod.Switcheroo.replacement.advancedMinItems,.
settings.mod.Switcheroo.replacement.advancedMinItems.description,.
settings.mod.Switcheroo.replacement.advancedMinSlots,.
settings.mod.Switcheroo.replacement.advancedMinSlots.description,.
settings.mod.Switcheroo.sellItems,.
settings.mod.Switcheroo.sellItems.description,.
settings.mod.Switcheroo.slots,.
settings.mod.Switcheroo.slots.description,.
settings.mod.Switcheroo.slots.allowed,.
settings.mod.Switcheroo.slots.allowed.description,.
settings.mod.Switcheroo.slots.capacity,.
settings.mod.Switcheroo.slots.capacity.description,.
settings.mod.Switcheroo.slots.oneTime,.
settings.mod.Switcheroo.slots.oneTime.description,.
settings.mod.Switcheroo.slots.reduce,.
settings.mod.Switcheroo.slots.reduce.description,.
settings.mod.Switcheroo.slots.unlocked,.
settings.mod.Switcheroo.slots.unlocked.description,.
